CI_MERGE_REQUEST_APPROVED 	14.1 	all 	Approval status of the merge request. true when merge request approvals is available and the merge request has been approved.
CI_MERGE_REQUEST_ASSIGNEES 	11.9 	all 	Comma-separated list of usernames of assignees for the merge request.
CI_MERGE_REQUEST_DIFF_BASE_SHA 	13.7 	all 	The base SHA of the merge request diff.
CI_MERGE_REQUEST_DIFF_ID 	13.7 	all 	The version of the merge request diff.
CI_MERGE_REQUEST_EVENT_TYPE 	12.3 	all 	The event type of the merge request. Can be detached, merged_result or merge_train.
CI_MERGE_REQUEST_DESCRIPTION 	16.7 	all 	The description of the merge request. If the description is more than 2700 characters long, only the first 2700 characters are stored in the variable.
CI_MERGE_REQUEST_DESCRIPTION_IS_TRUNCATED 	16.8 	all 	true if CI_MERGE_REQUEST_DESCRIPTION is truncated down to 2700 characters because the description of the merge request is too long.
CI_MERGE_REQUEST_ID 	11.6 	all 	The instance-level ID of the merge request. This is a unique ID across all projects on the GitLab instance.
CI_MERGE_REQUEST_IID 	11.6 	all 	The project-level IID (internal ID) of the merge request. This ID is unique for the current project, and is the number used in the merge request URL, page title, and other visible locations.
CI_MERGE_REQUEST_LABELS 	11.9 	all 	Comma-separated label names of the merge request.
CI_MERGE_REQUEST_MILESTONE 	11.9 	all 	The milestone title of the merge request.
CI_MERGE_REQUEST_PROJECT_ID 	11.6 	all 	The ID of the project of the merge request.
CI_MERGE_REQUEST_PROJECT_PATH 	11.6 	all 	The path of the project of the merge request. For example namespace/awesome-project.
CI_MERGE_REQUEST_PROJECT_URL 	11.6 	all 	The URL of the project of the merge request. For example, http://192.168.10.15:3000/namespace/awesome-project.
CI_MERGE_REQUEST_REF_PATH 	11.6 	all 	The ref path of the merge request. For example, refs/merge-requests/1/head.
CI_MERGE_REQUEST_SOURCE_BRANCH_NAME 	11.6 	all 	The source branch name of the merge request.
CI_MERGE_REQUEST_SOURCE_BRANCH_PROTECTED 	16.4 	all 	true when the source branch of the merge request is protected.
CI_MERGE_REQUEST_SOURCE_BRANCH_SHA 	11.9 	all 	The HEAD SHA of the source branch of the merge request. The variable is empty in merge request pipelines. The SHA is present only in merged results pipelines.
CI_MERGE_REQUEST_SOURCE_PROJECT_ID 	11.6 	all 	The ID of the source project of the merge request.
CI_MERGE_REQUEST_SOURCE_PROJECT_PATH 	11.6 	all 	The path of the source project of the merge request.
CI_MERGE_REQUEST_SOURCE_PROJECT_URL 	11.6 	all 	The URL of the source project of the merge request.
CI_MERGE_REQUEST_SQUASH_ON_MERGE 	16.4 	all 	true when the squash on merge option is set.
CI_MERGE_REQUEST_TARGET_BRANCH_NAME 	11.6 	all 	The target branch name of the merge request.
CI_MERGE_REQUEST_TARGET_BRANCH_PROTECTED 	15.2 	all 	true when the target branch of the merge request is protected.
CI_MERGE_REQUEST_TARGET_BRANCH_SHA 	11.9 	all 	The HEAD SHA of the target branch of the merge request. The variable is empty in merge request pipelines. The SHA is present only in merged results pipelines.
CI_MERGE_REQUEST_TITLE 	11.9 	all 	The title of the merge request.
